EAN,SKU,Reference,Style,color,UK Size,article_number,outer_material,brand,EU Size,comodity,MRP,PPCN
8909443020021,DISNEY6401YELLOWKBRV-28,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,9C,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,28,Clogs,1699,24
8909443020038,DISNEY6401YELLOWKBRV-29,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,10C,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,29,Clogs,1699,24
8909443020045,DISNEY6401YELLOWKBRV-30,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,11C,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,30,Clogs,1699,24
8909443020052,DISNEY6401YELLOWKBRV-31,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,12C,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,31,Clogs,1699,24
8909443020069,DISNEY6401YELLOWKBRV-32,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,13C,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,32,Clogs,1699,24
8909443020076,DISNEY6401YELLOWKBRV-33,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,1,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,33,Clogs,1699,24
8909443020083,DISNEY6401YELLOWKBRV-34,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,2,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,34,Clogs,1699,24
8909443020090,DISNEY6401YELLOWKBRV-35,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,3,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,35,Clogs,1699,24
8909443020625,DISNEY6401BLUEKBRV-28,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,9C,DSNEY6401BLUEKBRV,EVA,Miss & Chief,28,Clogs,1699,24
8909443020403,DISNEY6401PINKKBRV-30,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,11C,DSNEY6401PINKKBRV,EVA,Miss & Chief,30,Clogs,1699,24
